unitid,opeid,fips,sector,control,c21basic,instnm,cipcode,awlevel,ctotalt
134495,00787000,12,1,1,2,Hillsborough Community College,470603,2,11
134495,00787000,12,1,1,2,Hillsborough Community College,510714,2,11
134495,00787000,12,1,1,2,Hillsborough Community College,240101,3,2681
134495,00787000,12,1,1,2,Hillsborough Community College,513801,3,210
134495,00787000,12,1,1,2,Hillsborough Community College,430103,3,71
134495,00787000,12,1,1,2,Hillsborough Community College,511801,3,46
134495,00787000,12,1,1,2,Hillsborough Community College,520201,3,38
136400,01065200,12,1,1,23,Pasco-Hernando State College,513901,2,43
136400,01065200,12,1,1,23,Pasco-Hernando State College,510904,2,40
136400,01065200,12,1,1,23,Pasco-Hernando State College,110202,2,22
136400,01065200,12,1,1,23,Pasco-Hernando State College,240101,3,956
136400,01065200,12,1,1,23,Pasco-Hernando State College,513801,3,121
136400,01065200,12,1,1,23,Pasco-Hernando State College,110201,3,23
136400,01065200,12,1,1,23,Pasco-Hernando State College,111003,3,15
136400,01065200,12,1,1,23,Pasco-Hernando State College,220302,3,12
136400,01065200,12,1,1,23,Pasco-Hernando State College,520201,3,12
